0;0;0;0;land;false;unknown;0
1;236;23;248;land;true;plains;1
2;249;186;127;land;false;plains;1
3;216;46;249;land;false;plains;1
4;117;173;244;land;true;plains;1
5;236;123;209;land;true;plains;1
6;244;240;62;land;false;plains;1
7;244;215;239;land;false;plains;1
8;233;230;43;land;false;plains;1
9;140;216;212;land;false;plains;1
10;241;136;145;land;false;plains;1
11;210;181;196;land;false;plains;1
12;223;171;169;land;true;plains;1
13;246;235;222;land;true;plains;1
14;218;114;181;land;false;plains;1
15;238;234;150;land;false;plains;1
16;205;104;220;land;true;plains;1
17;222;141;177;land;true;plains;1
18;252;180;235;land;false;plains;1
19;91;238;227;land;true;plains;1
20;77;233;192;land;false;plains;1
21;235;204;107;land;true;plains;1
22;132;238;172;land;true;plains;1
23;179;236;153;land;false;plains;1
24;221;220;196;land;true;plains;1
25;233;252;20;land;true;plains;1
26;159;164;206;land;true;plains;1
27;160;213;165;land;false;plains;1
28;229;244;184;land;true;plains;1
29;124;252;168;land;false;plains;1
30;197;239;210;land;true;plains;1
31;247;105;231;land;true;plains;1
32;238;241;239;land;true;plains;1
33;186;170;203;land;false;plains;1
34;117;247;201;land;true;plains;1
35;126;223;218;land;true;plains;1
36;247;182;153;land;true;plains;1
37;237;215;98;land;true;plains;1
38;157;226;202;land;false;plains;1
39;58;225;246;land;true;plains;1
40;241;126;242;land;false;plains;1
41;248;211;93;land;true;plains;1
42;246;98;170;land;false;plains;1
43;176;218;167;land;false;plains;1
44;172;159;253;land;false;plains;1
45;165;253;152;land;false;plains;1
46;149;242;213;land;false;plains;1
47;157;246;117;land;true;plains;1
48;250;99;179;land;false;plains;1
49;227;184;232;land;false;plains;1
50;235;229;126;land;false;plains;1
51;230;135;194;land;false;plains;1
52;219;166;219;land;true;plains;1
53;202;248;205;land;true;plains;1
54;177;143;244;land;true;plains;1
55;173;240;154;land;false;plains;1
56;198;251;55;land;true;plains;1
57;206;239;142;land;false;plains;1
58;216;252;72;land;false;plains;1
59;207;178;197;land;true;plains;1
60;250;97;248;land;false;plains;1
61;115;241;183;land;false;plains;1
62;249;175;139;land;false;plains;1
63;150;240;254;land;false;plains;1
64;218;244;113;land;false;plains;1
65;198;236;124;land;true;plains;1
66;190;193;231;land;true;plains;1
67;197;188;243;land;false;plains;1
68;247;154;175;land;false;plains;1
69;246;242;53;land;false;plains;1
70;228;83;253;land;true;plains;1
71;201;73;233;land;false;plains;1
72;197;221;119;land;false;plains;1
73;159;111;249;land;false;plains;1
74;226;206;111;land;true;plains;1
75;196;231;207;land;true;plains;1
76;248;121;172;land;false;plains;1
77;235;178;203;land;false;plains;1
78;214;197;215;land;true;plains;1
79;207;215;169;land;false;plains;1
80;232;70;217;land;false;plains;1
81;43;236;248;land;true;plains;1
82;206;137;220;land;true;plains;1
83;254;178;177;land;false;plains;1
84;206;117;218;land;false;plains;1
85;195;247;190;land;true;plains;1
86;237;123;143;land;true;plains;1
87;216;214;188;land;true;plains;1
88;230;113;207;land;false;plains;1
